Avg_Hosp,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation,Avg_State_Category
0.0,43,1,2,1.0,1.0,0.0,0.0,0.0,1.0
0.0,43,1,3,7.0,7.0,0.0,0.0003,0.0003,1.0
48.0,43,1,4,140.0,152.0,0.0017000000000000001,0.006,0.006999999999999999,1.0
0.0,43,1,5,3.0,2.0,0.0,0.0001,0.0001,1.0
0.0,43,1,6,8.0,8.0,0.0,0.0003,0.0004,1.0
210.0,43,1,7,661.0,585.0,0.0075,0.028300000000000002,0.027000000000000003,1.0
0.0,43,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,43,2,2,0.0,0.0,0.0,0.0,0.0,0.0
16852.0,43,2,3,10339.0,10139.0,0.6038,0.4429,0.46840000000000004,6.0
0.0,43,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,43,2,5,0.0,0.0,0.0,0.0,0.0,0.0
20.0,43,2,6,23.0,19.0,0.0007000000000000001,0.001,0.0009,1.0
768.0,43,2,7,1596.0,1545.0,0.0275,0.0684,0.07139999999999999,2.0
0.0,43,1,2,1.0,1.0,0.0,0.0,0.0,1.0
0.0,43,1,3,7.0,7.0,0.0,0.0003,0.0003,1.0
0.0,43,1,4,140.0,152.0,0.0,0.006,0.006999999999999999,1.0
889.0,43,1,7,661.0,585.0,0.042300000000000004,0.028300000000000002,0.027000000000000003,1.0
0.0,43,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,43,2,2,0.0,0.0,0.0,0.0,0.0,0.0
11820.0,43,2,3,10339.0,10139.0,0.5625,0.4429,0.46840000000000004,6.0
0.0,43,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,43,2,5,0.0,0.0,0.0,0.0,0.0,0.0
6.0,43,2,6,23.0,19.0,0.0003,0.001,0.0009,1.0
1236.0,43,2,7,1596.0,1545.0,0.0588,0.0684,0.07139999999999999,2.0
21.0,2,1,1,16.0,13.0,0.0009,0.0008,0.0006,1.0
2.0,2,1,2,1.0,1.0,0.0001,0.0,0.0,1.0
6.0,2,1,3,7.0,7.0,0.0003,0.0004,0.0003,1.0
219.0,2,1,4,108.0,152.0,0.0095,0.0052,0.006999999999999999,1.0
1.0,2,1,5,2.0,2.0,0.0,0.0001,0.0001,1.0
9.0,2,1,6,8.0,8.0,0.0004,0.0004,0.0004,1.0
538.0,2,1,7,537.0,585.0,0.0235,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
10669.0,2,2,3,9801.0,10139.0,0.465,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
24.0,2,2,6,22.0,19.0,0.001,0.0011,0.0009,1.0
1656.0,2,2,7,1495.0,1545.0,0.0722,0.0719,0.07139999999999999,2.0
1115.0,2,3,1,999.0,825.0,0.048600000000000004,0.0481,0.0381,1.0
173.0,2,3,2,198.0,149.0,0.0075,0.0095,0.0069,1.0
4025.0,2,3,3,3004.0,2857.0,0.1754,0.1446,0.132,4.0
842.0,2,3,4,705.0,855.0,0.036699999999999997,0.0339,0.0395,1.0
2404.0,2,3,5,2630.0,3228.0,0.1048,0.1266,0.1491,3.0
96.0,2,3,6,103.0,89.0,0.0042,0.005,0.0040999999999999995,1.0
1144.0,2,3,7,1142.0,1174.0,0.0499,0.055,0.0542,2.0
22944.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
26.0,2,1,1,16.0,13.0,0.0015,0.0008,0.0006,1.0
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2,1,3,7.0,7.0,0.0,0.0004,0.0003,1.0
89.0,2,1,4,108.0,152.0,0.005,0.0052,0.006999999999999999,1.0
1.0,2,1,5,2.0,2.0,0.0001,0.0001,0.0001,1.0
8.0,2,1,6,8.0,8.0,0.0005,0.0004,0.0004,1.0
466.0,2,1,7,537.0,585.0,0.0259,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
